Multiple Oddonacci(5) = 5, elapsed time: 0 ms
Multiple Oddonacci(10) = 105, elapsed time: 0 ms
Multiple Oddonacci(15) = 2209, elapsed time: 0 ms
Multiple Oddonacci(20) = 46499, elapsed time: 0 ms
Multiple Oddonacci(25) = 978793, elapsed time: 5 ms
Multiple Oddonacci(30) = 20603361, elapsed time: 54 ms
Multiple Oddonacci(35) = 433695873, elapsed time: 1145 ms
Multiple Oddonacci(40) = 9129195487, elapsed time: 24080 ms

Linear Oddonacci(5) = 5, elapsed time: 4916 ns
Linear Oddonacci(10) = 105, elapsed time: 1167 ns
Linear Oddonacci(15) = 2209, elapsed time: 1250 ns
Linear Oddonacci(20) = 46499, elapsed time: 1708 ns
Linear Oddonacci(25) = 978793, elapsed time: 2166 ns
Linear Oddonacci(30) = 20603361, elapsed time: 2625 ns
Linear Oddonacci(35) = 433695873, elapsed time: 2875 ns
Linear Oddonacci(40) = 9129195487, elapsed time: 5167 ns
Linear Oddonacci(45) = 192167404461, elapsed time: 4291 ns
Linear Oddonacci(50) = 4045078385041, elapsed time: 4334 ns
Linear Oddonacci(55) = 85147942685809, elapsed time: 242042 ns
Linear Oddonacci(60) = 1792344042191491, elapsed time: 150333 ns
Linear Oddonacci(65) = 37728417907092161, elapsed time: 1042 ns
Linear Oddonacci(70) = 794174268033812681, elapsed time: 792 ns
Linear Oddonacci(75) = -1729563683050201663, elapsed time: 833 ns
Linear Oddonacci(80) = 1404553489305773151, elapsed time: 1167 ns
Linear Oddonacci(85) = -8333254287014256043, elapsed time: 1208 ns
Linear Oddonacci(90) = 9144090516051710745, elapsed time: 1250 ns
Linear Oddonacci(95) = 629759302281926593, elapsed time: 1292 ns
Linear Oddonacci(100) = -4410962496751638461, elapsed time: 1333 ns
Linear Oddonacci(105) = -9069386318612563879, elapsed time: 1375 ns
Linear Oddonacci(110) = 8675868925471514449, elapsed time: 1375 ns
Linear Oddonacci(115) = 2692201956151636545, elapsed time: 6000 ns
Linear Oddonacci(120) = 802491464914663167, elapsed time: 1500 ns
Linear Oddonacci(125) = -8673096502588025731, elapsed time: 1542 ns
Linear Oddonacci(130) = 5827107603813275521, elapsed time: 1916 ns
Linear Oddonacci(135) = 3818190200148113681, elapsed time: 2000 ns
Linear Oddonacci(140) = 3549029009497430627, elapsed time: 4208 ns
Linear Oddonacci(145) = -8058813365140325711, elapsed time: 2042 ns
Linear Oddonacci(150) = 4152835205084668921, elapsed time: 2084 ns
Linear Oddonacci(155) = 8912778656296945793, elapsed time: 2792 ns
Linear Oddonacci(160) = -1205067114915311297, elapsed time: 2125 ns
Linear Oddonacci(165) = 6205948521869629093, elapsed time: 2166 ns
Linear Oddonacci(170) = 8905421984676984137, elapsed time: 2167 ns
Linear Oddonacci(175) = 7547302348075468513, elapsed time: 4416 ns
Linear Oddonacci(180) = 7584023152745487459, elapsed time: 2666 ns
Linear Oddonacci(185) = -8750230196687826871, elapsed time: 3125 ns
Linear Oddonacci(190) = -2602811966237443775, elapsed time: 2792 ns
Linear Oddonacci(195) = -485026113800003839, elapsed time: 2709 ns
Linear Oddonacci(200) = -3091846479015799649, elapsed time: 2792 ns
